director,stars,country,url,Release Year,Released,plot
Andrew Lau,"Ekin Cheng, Shu Qi, Kristy Yang",Hong Kong,https://en.wikipedia.org/wiki/A_Man_Called_Hero,1999,7/17/1999,"Hero Wah goes to study under Master Pride. When he returns to his parents, he learns that they have been murdered by a band of evil Westerners. After impregnating his wife Jade, he ventures to New York in search of his parents' killers."
Les Mayfield,"Martin Lawrence, Luke Wilson, Peter Greene",United States,https://en.wikipedia.org/wiki/Blue_Streak_(film),1999,9/17/1999,A former convict poses as a cop to retrieve a diamond he stole years ago.
Wilson Yip,"Francis Ng, David Lee, Joe Lee",Hong Kong,https://en.wikipedia.org/wiki/Bullets_Over_Summer,1999,8/5/1999,"Policemen Brian and Mike use an elderly woman's apartment for surveillance, hoping to catch a fugitive gangster. They develop a warm relationship with their hostess. Meanwhile, each man develops a romantic relationship."
Clarence Fok,"Andy Lau, Lee Siu-kei, Louis Koo",Hong Kong,https://en.wikipedia.org/wiki/Century_of_the_Dragon,1999,10/15/1999,"Five years ago, Shing, an outstanding trainee at the police academy, was hand-picked to go under cover in the Hung Hing triad. There, he became close friends with their toughest leader Fei Lung. When territorial war breaks out between Fei Lung's buddy Leopard and a rival gang led by Tall Guy, Shing comes into contact with White Head, another undercover cop. Soon, Shing is caught between the need to protect White Head, and his loyalty toward Fei Lung. Written by L.H. Wong <lhw@sfs.org.sg>"
Brian Helgeland,"Mel Gibson, Gregg Henry, Maria Bello",United States,https://en.wikipedia.org/wiki/Payback_(1999_film),1999,2/5/1999,"After a successful heist, Porter is left for dead. Once he recovers, he seeks vengeance and wants his share of the money. EN"
Teddy Chan,"Daniel Wu, Kwok-Leung Gan, Emil Chau",Hong Kong,https://en.wikipedia.org/wiki/Purple_Storm_(film),1999,NULL,"Khmer Rouge terrorist Kieron Chow and his unit arrive in Hong Kong for their latest mission. Todd, Chow's son and fiercely loyal right-hand man, sustains a serious head wound. Now a total amnesiac, Todd wakes from a coma to find he's been given a new life, one that may be the death of him. With the help of psychiatrist Shirley Kwan, anti-terrorist officer Mark Chan tries to convince Todd that he is actually an undercover cop sent to infiltrate Chow's group. As fragments of his shattered memory return, Todd is forced to choose between his dark past and this one shot at redemption..."
Johnnie To,"Andy Lau, Lau Ching-Wan, Yo Yo Mung",Hong Kong,https://en.wikipedia.org/wiki/Running_Out_of_Time_(1999_film),1999,9/23/1999,Police inspector and excellent hostage negotiator Ho Sheung-Sang finds himself in over his head when he is pulled into a 72 hour game by a cancer suffering criminal out for vengeance on Hong Kong's organized crime Syndicates. EN
Kevin Elders,"Dennis Rodman, Dane Cook, Natalia Cigliuti",United States,https://en.wikipedia.org/wiki/Simon_Sez,1999,1999,Basketball superstar Dennis Rodman stars as a hip Interpol agent attempting to defeat the deadly plans of a crazed arms dealer. EN
George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman",United States,https://en.wikipedia.org/wiki/Star_Wars_Episode_I:_The_Phantom_Menace,1999,5/16/1999,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory. EN"
James Foley,"Chow Yun-fat, Mark Wahlberg, Ric Young",United States,https://en.wikipedia.org/wiki/The_Corruptor,1999,3/12/1999,"With the aid from a New York City policeman, a top immigrant cop tries to stop drug-trafficking and corruption by immigrant Chinese Triads, but things get complicated when the Triads try to bribe the policeman. EN"
